file_path,file_size,chunk_size,access_count,avg_read_size,avg_write_size,max_read_size,max_write_size,read_count,write_count,throughput_mbps
/mnt/beegfs/testdir_768K/test_50M.dat,50000000,768000,12,285798,348672,500736,358400,10,2,564.44
/mnt/beegfs/testdir_768K/test_500M.dat,500000000,768000,15,358400,273715,501760,496640,5,10,389.12
/mnt/beegfs/testdir_128K/test_1000M.dat,1000000000,128000,10,57958,63283,125952,131072,5,5,361.50
/mnt/beegfs/testdir_768K/test_500M.dat,500000000,768000,20,312627,276889,475136,470016,10,10,1050.82
/mnt/beegfs/testdir_256K/test_200M.dat,200000000,256000,15,110899,171827,246784,260096,10,5,819.48
/mnt/beegfs/testdir_256K/test_100M.dat,100000000,256000,15,144793,85811,226304,210944,5,10,388.24
/mnt/beegfs/testdir_64K/test_50M.dat,50000000,64000,7,39116,50688,65536,58368,5,2,369.25
/mnt/beegfs/testdir_2048K/test_1000M.dat,1000000000,2048000,10,415334,236544,515072,344064,5,5,848.88
/mnt/beegfs/testdir_128K/test_200M.dat,200000000,128000,15,81305,67379,134144,122880,10,5,351.87
/mnt/beegfs/testdir_2048K/test_1000M.dat,1000000000,2048000,12,220262,358400,497664,370688,10,2,723.43
/mnt/beegfs/testdir_1024K/test_500M.dat,500000000,1024000,12,209612,441856,464896,513024,10,2,423.03
/mnt/beegfs/testdir_256K/test_200M.dat,200000000,256000,15,157900,179814,240640,250880,5,10,335.90
/mnt/beegfs/testdir_512K/test_50M.dat,50000000,512000,30,315187,309452,524288,520192,20,10,377.42
/mnt/beegfs/testdir_512K/test_200M.dat,200000000,512000,30,296806,199782,524288,384000,20,10,417.09
/mnt/beegfs/testdir_512K/test_100M.dat,100000000,512000,25,226048,174899,458752,482304,20,5,625.10
/mnt/beegfs/testdir_1024K/test_500M.dat,500000000,1024000,25,207616,194764,480256,370688,20,5,814.46
/mnt/beegfs/testdir_512K/test_100M.dat,100000000,512000,10,155852,290816,300032,503808,5,5,864.65
/mnt/beegfs/testdir_4096K/test_100M.dat,100000000,4096000,15,226713,201113,451584,394240,5,10,614.19
/mnt/beegfs/testdir_4096K/test_200M.dat,200000000,4096000,10,268083,155443,461824,328704,5,5,1049.12
/mnt/beegfs/testdir_512K/test_500M.dat,500000000,512000,20,287232,255283,525312,486400,10,10,916.59
/mnt/beegfs/testdir_768K/test_1000M.dat,1000000000,768000,12,151654,192000,459776,273408,10,2,455.51
/mnt/beegfs/testdir_1024K/test_500M.dat,500000000,1024000,22,266803,517632,509952,520192,20,2,882.69
/mnt/beegfs/testdir_4096K/test_200M.dat,200000000,4096000,12,257228,270336,442368,437248,10,2,1065.87
/mnt/beegfs/testdir_4096K/test_50M.dat,50000000,4096000,20,195686,238387,441344,497664,10,10,503.34
/mnt/beegfs/testdir_512K/test_200M.dat,200000000,512000,20,235315,351744,381952,485376,10,10,840.09
/mnt/beegfs/testdir_4096K/test_50M.dat,50000000,4096000,7,226713,224256,371712,302080,5,2,1008.65
/mnt/beegfs/testdir_2048K/test_1000M.dat,1000000000,2048000,25,285235,317440,509952,513024,20,5,800.77
/mnt/beegfs/testdir_256K/test_100M.dat,100000000,256000,25,128358,236748,263168,260096,20,5,441.95
/mnt/beegfs/testdir_128K/test_1000M.dat,1000000000,128000,20,70553,86937,126976,124928,10,10,379.06
/mnt/beegfs/testdir_2048K/test_100M.dat,100000000,2048000,25,306790,303718,517120,424960,20,5,537.86
/mnt/beegfs/testdir_1024K/test_200M.dat,200000000,1024000,30,288256,257945,514048,505856,20,10,1036.85
/mnt/beegfs/testdir_768K/test_1000M.dat,1000000000,768000,22,256921,181760,524288,355328,20,2,1012.51
/mnt/beegfs/testdir_4096K/test_1000M.dat,1000000000,4096000,15,272384,262656,485376,460800,5,10,566.04
/mnt/beegfs/testdir_2048K/test_50M.dat,50000000,2048000,10,271974,354099,448512,405504,5,5,569.68
