file_path,file_size,chunk_size,access_count,avg_read_size,avg_write_size,max_read_size,max_write_size,read_count,write_count,throughput_mbps
/mnt/beegfs/testdir_64K/test_100M.dat,100000000,64000,7,38502,18432,61440,25600,5,2,292.70
/mnt/beegfs/testdir_768K/test_50M.dat,50000000,768000,12,247398,188416,476160,217088,10,2,486.57
/mnt/beegfs/testdir_128K/test_50M.dat,50000000,128000,30,59904,79667,133120,128000,20,10,278.71
/mnt/beegfs/testdir_2048K/test_1000M.dat,1000000000,2048000,30,236902,269209,523264,484352,20,10,574.45
/mnt/beegfs/testdir_512K/test_100M.dat,100000000,512000,25,306790,222617,517120,480256,20,5,331.59
/mnt/beegfs/testdir_2048K/test_1000M.dat,1000000000,2048000,10,318054,242688,493568,444416,5,5,844.39
/mnt/beegfs/testdir_64K/test_100M.dat,100000000,64000,12,29081,43520,48128,64512,10,2,349.21
/mnt/beegfs/testdir_256K/test_500M.dat,500000000,256000,20,150220,135168,242688,252928,10,10,472.03
/mnt/beegfs/testdir_4096K/test_50M.dat,50000000,4096000,7,301670,314368,510976,366592,5,2,618.19
/mnt/beegfs/testdir_2048K/test_1000M.dat,1000000000,2048000,20,292761,306585,460800,475136,10,10,762.49
/mnt/beegfs/testdir_128K/test_200M.dat,200000000,128000,12,60928,47616,133120,48128,10,2,310.38
/mnt/beegfs/testdir_128K/test_50M.dat,50000000,128000,7,44441,115712,102400,118784,5,2,513.85
/mnt/beegfs/testdir_256K/test_500M.dat,500000000,256000,15,99123,190668,186368,252928,10,5,397.86
/mnt/beegfs/testdir_512K/test_500M.dat,500000000,512000,22,245913,397824,500736,456704,20,2,402.06
/mnt/beegfs/testdir_1024K/test_1000M.dat,1000000000,1024000,30,229836,354713,487424,524288,20,10,321.08
/mnt/beegfs/testdir_512K/test_1000M.dat,1000000000,512000,15,237158,242073,392192,392192,10,5,380.04
/mnt/beegfs/testdir_1024K/test_200M.dat,200000000,1024000,12,243507,419840,506880,520192,10,2,349.15
/mnt/beegfs/testdir_768K/test_200M.dat,200000000,768000,7,308428,196096,524288,384000,5,2,460.35
/mnt/beegfs/testdir_1024K/test_200M.dat,200000000,1024000,15,278732,159948,505856,428032,10,5,1097.60
/mnt/beegfs/testdir_1024K/test_200M.dat,200000000,1024000,22,260915,406528,518144,428032,20,2,1074.48
/mnt/beegfs/testdir_512K/test_100M.dat,100000000,512000,7,318259,281088,461824,315392,5,2,991.26
/mnt/beegfs/testdir_4096K/test_500M.dat,500000000,4096000,20,289894,207052,489472,446464,10,10,284.72
/mnt/beegfs/testdir_128K/test_100M.dat,100000000,128000,25,94720,87040,134144,118784,20,5,325.14
/mnt/beegfs/testdir_256K/test_200M.dat,200000000,256000,25,116172,127795,261120,263168,20,5,429.79
/mnt/beegfs/testdir_4096K/test_200M.dat,200000000,4096000,12,245350,384512,417792,493568,10,2,454.95
/mnt/beegfs/testdir_128K/test_100M.dat,100000000,128000,12,75161,60416,133120,60416,10,2,500.06
/mnt/beegfs/testdir_256K/test_1000M.dat,1000000000,256000,10,73728,209920,208896,258048,5,5,442.94
/mnt/beegfs/testdir_64K/test_100M.dat,100000000,64000,22,30873,18944,63488,26624,20,2,290.25
/mnt/beegfs/testdir_512K/test_1000M.dat,1000000000,512000,20,273408,208998,479232,483328,10,10,848.21
/mnt/beegfs/testdir_64K/test_100M.dat,100000000,64000,15,36147,36864,68608,67584,10,5,363.73
/mnt/beegfs/testdir_768K/test_100M.dat,100000000,768000,15,163225,315187,455680,502784,5,10,509.19
/mnt/beegfs/testdir_1024K/test_200M.dat,200000000,1024000,30,253593,311296,526336,502784,20,10,1043.89
/mnt/beegfs/testdir_4096K/test_500M.dat,500000000,4096000,15,298393,350003,510976,424960,10,5,459.72
/mnt/beegfs/testdir_256K/test_50M.dat,50000000,256000,10,140902,111820,242688,181248,5,5,407.02
/mnt/beegfs/testdir_256K/test_100M.dat,100000000,256000,22,124825,60928,265216,97280,20,2,395.63
/mnt/beegfs/testdir_64K/test_500M.dat,500000000,64000,22,38809,14848,68608,21504,20,2,224.49
/mnt/beegfs/testdir_256K/test_50M.dat,50000000,256000,20,161382,126771,263168,233472,10,10,769.21
