file_path,file_size,chunk_size,access_count,avg_read_size,avg_write_size,max_read_size,max_write_size,read_count,write_count,throughput_mbps
/mnt/beegfs/testdir_512K/test_1000M.dat,1000000000,512000,25,304179,173465,519168,480256,20,5,514.27
/mnt/beegfs/testdir_128K/test_500M.dat,500000000,128000,12,71475,77312,118784,98304,10,2,375.30
/mnt/beegfs/testdir_768K/test_50M.dat,50000000,768000,10,238182,263168,406528,347136,5,5,619.95
/mnt/beegfs/testdir_4096K/test_100M.dat,100000000,4096000,10,331776,150323,466944,502784,5,5,642.24
/mnt/beegfs/testdir_1024K/test_100M.dat,100000000,1024000,20,266854,369356,485376,510976,10,10,542.89
/mnt/beegfs/testdir_768K/test_50M.dat,50000000,768000,12,289484,156672,457728,304128,10,2,757.53
/mnt/beegfs/testdir_2048K/test_200M.dat,200000000,2048000,22,282112,388608,510976,481280,20,2,487.26
/mnt/beegfs/testdir_128K/test_50M.dat,50000000,128000,25,74956,61644,133120,112640,20,5,344.72
/mnt/beegfs/testdir_128K/test_500M.dat,500000000,128000,15,59392,44646,107520,80896,10,5,496.11
/mnt/beegfs/testdir_64K/test_50M.dat,50000000,64000,15,31232,30105,51200,60416,10,5,259.24
/mnt/beegfs/testdir_512K/test_500M.dat,500000000,512000,12,370892,421376,510976,432128,10,2,585.99
/mnt/beegfs/testdir_64K/test_200M.dat,200000000,64000,12,30515,26624,64512,49152,10,2,195.08
/mnt/beegfs/testdir_4096K/test_100M.dat,100000000,4096000,7,288768,395776,501760,451584,5,2,730.32
/mnt/beegfs/testdir_2048K/test_100M.dat,100000000,2048000,25,252620,317644,519168,473088,20,5,380.96
/mnt/beegfs/testdir_768K/test_100M.dat,100000000,768000,25,272435,204185,507904,403456,20,5,532.39
/mnt/beegfs/testdir_2048K/test_500M.dat,500000000,2048000,25,297728,266854,526336,449536,20,5,552.24
/mnt/beegfs/testdir_2048K/test_100M.dat,100000000,2048000,22,277760,316416,504832,367616,20,2,879.23
/mnt/beegfs/testdir_1024K/test_1000M.dat,1000000000,1024000,25,353228,184729,519168,386048,20,5,613.06
/mnt/beegfs/testdir_256K/test_100M.dat,100000000,256000,12,152780,145408,249856,155648,10,2,427.64
/mnt/beegfs/testdir_512K/test_1000M.dat,1000000000,512000,10,178380,281600,246784,472064,5,5,689.78
/mnt/beegfs/testdir_512K/test_200M.dat,200000000,512000,7,251904,271360,506880,271360,5,2,589.70
/mnt/beegfs/testdir_256K/test_50M.dat,50000000,256000,20,126771,85606,241664,181248,10,10,454.88
/mnt/beegfs/testdir_1024K/test_100M.dat,100000000,1024000,12,238182,330752,433152,346112,10,2,939.34
/mnt/beegfs/testdir_64K/test_100M.dat,100000000,64000,25,38707,46489,64512,61440,20,5,307.23
/mnt/beegfs/testdir_4096K/test_100M.dat,100000000,4096000,20,248012,233164,475136,433152,10,10,936.27
/mnt/beegfs/testdir_768K/test_1000M.dat,1000000000,768000,15,333926,311091,525312,464896,10,5,450.62
/mnt/beegfs/testdir_1024K/test_50M.dat,50000000,1024000,10,273817,211558,428032,323584,5,5,539.55
/mnt/beegfs/testdir_768K/test_50M.dat,50000000,768000,30,309196,203776,524288,441344,20,10,589.26
/mnt/beegfs/testdir_4096K/test_500M.dat,500000000,4096000,15,301875,363110,521216,527360,5,10,511.63
/mnt/beegfs/testdir_768K/test_1000M.dat,1000000000,768000,10,400179,360243,527360,451584,5,5,859.22
/mnt/beegfs/testdir_64K/test_50M.dat,50000000,64000,7,48947,49152,67584,53248,5,2,370.48
/mnt/beegfs/testdir_4096K/test_1000M.dat,1000000000,4096000,10,107315,315392,187392,510976,5,5,591.92
/mnt/beegfs/testdir_512K/test_1000M.dat,1000000000,512000,22,259123,266752,520192,305152,20,2,780.78
/mnt/beegfs/testdir_768K/test_50M.dat,50000000,768000,20,215040,245657,499712,506880,10,10,879.61
/mnt/beegfs/testdir_768K/test_500M.dat,500000000,768000,30,234342,335769,479232,526336,20,10,536.90
