model_type,file_size,file_size_mb,data_pattern,access_pattern,old_chunk_size,new_chunk_size,before_read_speed,after_read_speed,read_speed_change,read_speed_pct,before_write_speed,after_write_speed,write_speed_change,write_speed_pct,before_throughput,after_throughput,throughput_change,throughput_pct
rf,10485760,10.0,random,read_heavy,512,4096,389.72189959395297,323.221396517312,-66.500503076641,-17.063578707259495,149.67522758335207,182.82605758123924,33.15082999788717,22.14850816206438,269.6985635886525,253.0237270492756,-16.674836539376912,-6.182768019784329
rf,10485760,10.0,random,read_heavy,512,4096,506.7216494845361,393.73523834556823,-112.98641113896787,-22.297529867512782,165.19381493647154,149.88025457070674,-15.3135603657648,-9.27005673405746,335.9577322105038,271.8077464581375,-64.14998575236632,-19.094659715160635
rf,10485760,10.0,random,read_heavy,512,4096,406.6507232700337,329.3249093126606,-77.3258139573731,-19.015289911589658,140.34171656864723,167.2083334994399,26.866616930792674,19.14371406284677,273.4962199193405,248.26662140605026,-25.229598513290227,-9.224843590427298
xgb,10485760,10.0,random,read_heavy,512,2048,425.85657572773147,456.7482549212491,30.891679193517632,7.254010141965734,146.83299220261532,160.0317445782397,13.198752375624395,8.988955532154105,286.3447839651734,308.3899997497444,22.045215784570985,7.6988361650241295
xgb,10485760,10.0,random,read_heavy,512,2048,427.57717035244866,445.0898286199395,17.51265826749085,4.095788896552942,169.14425822270258,148.1327235162196,-21.011534706482962,-12.422257147397978,298.3607142875756,296.6112760680796,-1.749438219496028,-0.5863500574039477
xgb,10485760,10.0,random,read_heavy,512,2048,441.6854579407759,472.84448970542365,31.15903176464775,7.05457497059497,154.04623010747684,150.77481277335093,-3.271417334125914,-2.123659457192475,297.8658440241264,311.8096512393873,13.943807215260904,4.681237374141995
rf,10485760,10.0,random,write_heavy,512,4096,367.7859034390838,469.6448246517669,101.85892121268307,27.695167286245354,132.65711433177057,150.97308309756747,18.315968765796896,13.807000746291925,250.2215088854272,310.30895387466717,60.08744498923997,24.013701003119255
rf,10485760,10.0,random,write_heavy,512,4096,476.49730564885954,464.8698813341412,-11.627424314718326,-2.4401867915884523,169.0340555695116,156.97245508982036,-12.061600479691236,-7.135603792415171,322.76568060918555,310.9211682119808,-11.844512397204767,-3.6696938704417157
rf,10485760,10.0,random,write_heavy,512,4096,401.68656544890376,470.2960534922053,68.60948804330155,17.0803541728181,145.95466245065893,132.05553864721622,-13.899123803442706,-9.522904969302648,273.8206139497813,301.17579606971077,27.355182119929452,9.990183618880641
xgb,10485760,10.0,random,write_heavy,512,2048,385.7694441974756,406.03922631609515,20.26978211861956,5.2543773032068986,182.59577166589514,140.55695931046964,-42.038812355425506,-23.02288381154087,284.18260793168537,273.2980928132824,-10.884515118402987,-3.830113038099613
xgb,10485760,10.0,random,write_heavy,512,2048,368.3662434460328,472.9191300001127,104.55288655407992,28.382863091904714,168.10815216011736,158.15645821575944,-9.951693944357913,-5.919816389915023,268.2371978030751,315.53779410793607,47.30059630486096,17.63386908760747
xgb,10485760,10.0,random,write_heavy,512,2048,358.89652025099826,526.3297207082474,167.4332004572491,46.65222174351337,136.04001115745635,190.11641557868592,54.07640442122957,39.7503675287413,247.4682657042273,358.22306814346666,110.75480243923937,44.755153604871865
rf,10485760,10.0,random,mixed,512,4096,449.41379002446564,574.168925393566,124.7551353691004,27.75952543919688,118.65958897456764,181.98836296106668,63.328773986499044,53.370127550393185,284.0366894995166,378.0786441773164,94.04195467779977,33.10908701390135
rf,10485760,10.0,random,mixed,512,4096,425.3843631360273,510.8256165634832,85.44125342745593,20.085659190094386,153.5973750448601,161.62605970302627,8.028684658166185,5.227097569747728,289.49086909044365,336.22583813325474,46.73496904281109,16.143849092597804
rf,10485760,10.0,random,mixed,512,4096,445.56422713559294,508.66972013469757,63.10549299910463,14.163051958814577,185.4732305261327,184.1238290064004,-1.3494015197323108,-0.7275451642829845,315.5187288308628,346.396774570549,30.878045739686172,9.786438305612812
xgb,10485760,10.0,random,mixed,512,2048,359.6648859085725,443.20073262653654,83.53584671796403,23.226022331020385,159.67453222255358,172.8609560652873,13.186423842733717,8.258313745585015,259.66970906556304,308.03084434591193,48.36113528034889,18.624095761642483
xgb,10485760,10.0,random,mixed,512,2048,216.93516381021016,459.9000734646438,242.96490965443365,111.99885965329075,80.55775576290003,152.67689373211041,72.11913796921039,89.52476057236942,148.74645978655508,306.2884835983771,157.54202381182205,105.91312494958754
xgb,10485760,10.0,random,mixed,512,2048,337.69204138319714,464.2524240322319,126.56038264903475,37.47804719668236,127.15766326580108,151.87417396793515,24.716510702134073,19.43768866723234,232.4248523244991,308.06329900008353,75.63844667558442,32.543183708247376
rf,10485760,10.0,random,sequential,512,4096,409.30820801577,488.81813414136707,79.50992612559708,19.425441407843376,161.26976314980007,154.9938472567634,-6.275915893036682,-3.8915639053844937,285.288985582785,321.9059906990652,36.61700511628021,12.835057421329962
rf,10485760,10.0,random,sequential,512,4096,415.15978963066584,516.0018699713763,100.84208034071048,24.289943982875016,159.60243077356287,155.34209944778667,-4.260331325776207,-2.669339874792122,287.38111020211437,335.67198470958147,48.290874507467095,16.80377477611672
rf,10485760,10.0,random,sequential,512,4096,425.40305894762463,546.6339399363131,121.23088098868851,28.49788651933845,165.21724059149315,169.1854222270029,3.968181635509751,2.401796338749691,295.3101497695589,357.90968108165805,62.599531312099145,21.197893591177884
xgb,10485760,10.0,random,sequential,512,2048,421.69207516312485,543.606412898376,121.91433773525114,28.910749078718283,147.78493694167722,171.10366237556042,23.318725433883202,15.778824226914177,284.738506052401,357.3550376369682,72.61653158456716,25.50288423976046
xgb,10485760,10.0,random,sequential,512,2048,417.68447887828876,528.6871173892766,111.00263851098788,26.575715432158425,163.4106215698854,167.27857667974365,3.867955109858258,2.3670157255989994,290.5475502240871,347.98284703451014,57.43529681042304,19.767950810848557
xgb,10485760,10.0,random,sequential,512,2048,394.3621148964177,432.1811855785182,37.81907068210046,9.589935050438081,170.17411084994333,147.71658128166717,-22.457529568276158,-13.196795597233255,282.26811287318054,289.9488834300927,7.680770556912137,2.721090412491265
rf,10485760,10.0,random,random,512,4096,367.54526069811595,417.3090788491833,49.76381815106737,13.53950750352376,141.5048902353858,143.66875687920458,2.1638666438187784,1.5291815287933175,254.52507546675088,280.4889178641939,25.963842397443045,10.200897632514309
rf,10485760,10.0,random,random,512,4096,395.10013376288174,421.6807697076733,26.58063594479154,6.7275694623641495,147.30984101711582,167.98808067970032,20.678239662584502,14.037242535739288,271.2049873899988,294.8344251936868,23.629437803688006,8.71275931578218
rf,10485760,10.0,random,random,512,4096,401.96501988595526,515.8728245495357,113.90780466358046,28.337740606358775,156.0446745026452,155.18748920845564,-0.8571852941895486,-0.5493204410349922,279.0048471943002,335.5301568789957,56.52530968469546,20.259615649376506
xgb,10485760,10.0,random,random,512,2048,434.21843241321955,530.0500861447991,95.83165373157959,22.069918404657308,151.7946589813775,134.45178166151638,-17.342877319861117,-11.425222360418347,293.0065456972985,332.2509339031578,39.24438820585925,13.393689930190893
xgb,10485760,10.0,random,random,512,2048,352.618581893387,413.366316142194,60.747734248807035,17.227604377120972,119.75103639665156,147.77382918104328,28.022792784391726,23.40087704257672,236.18480914501927,280.57007266161867,44.385263516599395,18.792598760806207
xgb,10485760,10.0,random,random,512,2048,389.4312153755687,460.17422596712964,70.74301059156096,18.165726782671022,132.0874220570637,159.88675826472794,27.799336207664254,21.046164558843866,260.7593187163162,310.0304921159288,49.271173399612564,18.895268495932598
rf,10485760,10.0,sequential,read_heavy,512,512,286.17494479102464,432.46043284151483,146.2854880504902,51.11750372042988,117.46908048037282,167.26123268788277,49.79215220750994,42.387453791152645,201.82201263569874,299.8608327646988,98.03882012900004,48.576871694350906
rf,10485760,10.0,sequential,read_heavy,512,4096,410.66811139650326,495.5775411179028,84.90942972139953,20.675924758964012,141.242013478868,185.35602068789765,44.114007209029666,31.232921510022095,275.9550624376856,340.4667809029002,64.51171846521459,23.37761731759576
rf,10485760,10.0,sequential,read_heavy,512,4096,420.7388979726951,499.37739113869793,78.63849316600283,18.690568793357983,151.43240192267425,199.22406095035433,47.79165902768008,31.559731220590347,286.08564994768466,349.30072604452613,63.21507609684147,22.096556086752816
xgb,10485760,10.0,sequential,read_heavy,512,2048,383.89456020990326,580.2427417272291,196.34818151732588,51.14638285313758,134.82750787561878,168.42429888528383,33.596791009665054,24.91835051987967,259.36103404276105,374.3335203062565,114.97248626349545,44.329128578558894
xgb,10485760,10.0,sequential,read_heavy,512,2048,478.5887561473773,499.34370151078025,20.754945363402953,4.336697236784151,172.779541484956,193.17758860239653,20.398047117440512,11.805823155987817,325.68414881616667,346.2606450565884,20.576496240421704,6.317929907002065
xgb,10485760,10.0,sequential,read_heavy,512,2048,411.12566163497354,491.1497191570417,80.02405752206818,19.46462237453793,172.4506306422368,140.64242394436408,-31.80820669787272,-18.44481900669966,291.78814613860516,315.8960715507029,24.107925412097757,8.262133239863012
rf,10485760,10.0,sequential,write_heavy,512,4096,365.98446816555656,439.48098759050407,73.49651942494751,20.081868444674175,136.20523478599728,170.2390371408625,34.03380235486523,24.987147086041446,251.09485147577692,304.8600123656833,53.76516088990638,21.412291241301336
rf,10485760,10.0,sequential,write_heavy,512,4096,416.51341769805464,492.56670424652384,76.0532865484692,18.25950457221595,163.60141460370292,162.15176366888488,-1.4496509348180382,-0.8860870416857797,290.0574161508788,327.35923395770436,37.30181780682557,12.860149656515704
rf,10485760,10.0,sequential,write_heavy,512,4096,326.58627616887196,504.40801895301433,177.82174278414237,54.44862682845678,137.17559973181724,167.24567062886035,30.07007089704311,21.92085980001624,231.88093795034462,335.82684479093734,103.94590684059273,44.82727547999305
xgb,10485760,10.0,sequential,write_heavy,512,2048,343.6057694933398,525.3606112479646,181.7548417546248,52.8963300070978,130.94814487963467,176.74118605500462,45.79304117536995,34.9703626710116,237.2769571864872,351.0508986514846,113.77394146499739,47.94984848679472
