size_group,mean,std,var
Large (>500 MB),659315.814042,82936.89086393343,6878527866.176003
Medium (10–500 MB),572313.553391624,163507.22212359373,26734611686.574215
Small (≤10 MB),90694.38399155489,62344.41733506528,3886826372.848788
