file_path,file_size,chunk_size,access_count,avg_read_size,avg_write_size,max_read_size,max_write_size,read_count,write_count,throughput_mbps,file_size_mb,chunk_size_kb,file_extension,dir_depth,read_write_ratio,avg_access_size,max_access_size,read_percentage,path_chunk_hint
/mnt/beegfs/testdir_2048K/test_1000M.dat,1000000000,2048000,52,278077,342528,520192,488448,50,2,892.01,953.67431640625,2000.0,.dat,5,25.0,280555.8846153846,520192,96.15384615384616,2097152
/mnt/beegfs/testdir_4096K/test_500M.dat,500000000,4096000,42,254822,98304,523264,159744,40,2,554.3,476.837158203125,4000.0,.dat,5,20.0,247368.7619047619,523264,95.23809523809523,4194304
/mnt/beegfs/testdir_768K/test_200M.dat,200000000,768000,52,275865,308224,492544,325632,50,2,425.33,190.73486328125,750.0,.dat,5,25.0,277109.57692307694,492544,96.15384615384616,786432
/mnt/beegfs/testdir_3072K/test_2000M.dat,2000000000,3072000,52,278466,181760,527360,196608,50,2,449.88,1907.3486328125,3000.0,.dat,5,25.0,274746.53846153844,527360,96.15384615384616,3145728
/mnt/beegfs/testdir_3072K/test_500M.dat,500000000,3072000,52,283934,216064,505856,352256,50,2,380.5,476.837158203125,3000.0,.dat,5,25.0,281323.6153846154,505856,96.15384615384616,3145728
/mnt/beegfs/testdir_1536K/test_100M.dat,100000000,1536000,42,280448,10752,525312,11264,40,2,811.01,95.367431640625,1500.0,.dat,5,20.0,267605.3333333333,525312,95.23809523809523,1572864
/mnt/beegfs/testdir_3072K/test_50M.dat,50000000,3072000,42,288512,249856,504832,416768,40,2,360.47,47.6837158203125,3000.0,.dat,5,20.0,286671.2380952381,504832,95.23809523809523,3145728
/mnt/beegfs/testdir_64K/test_350M.dat,350000000,64000,52,30658,10240,66560,11264,50,2,311.11,333.7860107421875,62.5,.dat,5,25.0,29872.69230769231,66560,96.15384615384616,65536
/mnt/beegfs/testdir_4096K/test_750M.dat,750000000,4096000,52,295096,272384,526336,479232,50,2,440.69,715.2557373046875,4000.0,.dat,5,25.0,294222.46153846156,526336,96.15384615384616,4194304
/mnt/beegfs/testdir_512K/test_2000M.dat,2000000000,512000,42,253491,146432,507904,188416,40,2,396.7,1907.3486328125,500.0,.dat,5,20.0,248392.95238095237,507904,95.23809523809523,524288
/mnt/beegfs/testdir_2048K/test_100M.dat,100000000,2048000,42,274176,403968,523264,448512,40,2,619.31,95.367431640625,2000.0,.dat,5,20.0,280356.5714285714,523264,95.23809523809523,2097152
/mnt/beegfs/testdir_8192K/test_50M.dat,50000000,8192000,52,267816,290304,525312,517120,50,2,867.48,47.6837158203125,8000.0,.dat,5,25.0,268680.92307692306,525312,96.15384615384616,8388608
/mnt/beegfs/testdir_1024K/test_500M.dat,500000000,1024000,52,265646,89088,526336,141312,50,2,524.2,476.837158203125,1000.0,.dat,5,25.0,258855.3076923077,526336,96.15384615384616,1048576
/mnt/beegfs/testdir_3072K/test_200M.dat,200000000,3072000,42,236953,275968,519168,395264,40,2,450.19,190.73486328125,3000.0,.dat,5,20.0,238810.85714285713,519168,95.23809523809523,3145728
/mnt/beegfs/testdir_6144K/test_200M.dat,200000000,6144000,42,281446,376320,509952,519168,40,2,478.13,190.73486328125,6000.0,.dat,5,20.0,285963.8095238095,519168,95.23809523809523,6291456
/mnt/beegfs/testdir_512K/test_2000M.dat,2000000000,512000,42,312729,201216,518144,208896,40,2,437.21,1907.3486328125,500.0,.dat,5,20.0,307418.85714285716,518144,95.23809523809523,524288
/mnt/beegfs/testdir_256K/test_2000M.dat,2000000000,256000,42,144179,152576,261120,210944,40,2,775.15,1907.3486328125,250.0,.dat,5,20.0,144578.85714285713,261120,95.23809523809523,262144
/mnt/beegfs/testdir_4096K/test_200M.dat,200000000,4096000,52,262656,294400,526336,422912,50,2,527.76,190.73486328125,4000.0,.dat,5,25.0,263876.92307692306,526336,96.15384615384616,4194304
/mnt/beegfs/testdir_64K/test_200M.dat,200000000,64000,42,34892,14336,62464,23552,40,2,217.64,190.73486328125,62.5,.dat,5,20.0,33913.142857142855,62464,95.23809523809523,65536
/mnt/beegfs/testdir_128K/test_500M.dat,500000000,128000,52,67215,121856,132096,129024,50,2,377.46,476.837158203125,125.0,.dat,5,25.0,69316.57692307692,132096,96.15384615384616,131072
/mnt/beegfs/testdir_256K/test_50M.dat,50000000,256000,42,136012,26624,258048,46080,40,2,428.84,47.6837158203125,250.0,.dat,5,20.0,130803.04761904762,258048,95.23809523809523,262144
/mnt/beegfs/testdir_3072K/test_750M.dat,750000000,3072000,42,267776,143360,514048,215040,40,2,606.76,715.2557373046875,3000.0,.dat,5,20.0,261851.42857142858,514048,95.23809523809523,3145728
/mnt/beegfs/testdir_512K/test_350M.dat,350000000,512000,52,239820,299520,522240,517120,50,2,930.37,333.7860107421875,500.0,.dat,5,25.0,242116.15384615384,522240,96.15384615384616,524288
/mnt/beegfs/testdir_768K/test_350M.dat,350000000,768000,52,282398,153088,513024,301056,50,2,431.13,333.7860107421875,750.0,.dat,5,25.0,277424.53846153844,513024,96.15384615384616,786432
/mnt/beegfs/testdir_8192K/test_200M.dat,200000000,8192000,52,261734,303616,526336,411648,50,2,498.45,190.73486328125,8000.0,.dat,5,25.0,263344.8461538461,526336,96.15384615384616,8388608
