file_size_KB,chunk_size_KB,access_count,access_count_label,avg_read_KB,avg_write_KB,max_read_KB,max_write_KB,read_ops,write_ops,throughput_KBps,combination,OT
1024,16384,15,2,217.8,265.9,418,400,5,10,26208.11,1024 | 2,1
1024,512,12,2,312.2,179.5,496,291,10,2,25832.2,1024 | 2,0
1024,8192,22,3,247.25,156.5,503,199,20,2,23172.06,1024 | 3,1
5120,256,22,3,122.1,33.5,247,57,20,2,55499.89,5120 | 3,1
5120,8192,25,3,261.65,157.4,420,472,20,5,41506.66,5120 | 3,0
5120,128,20,2,62.9,64.9,125,127,10,10,98405.57,5120 | 2,1
5120,4096,7,1,188.2,225.0,258,309,5,2,71167.08,5120 | 1,1
